LANDIS_test,LANDIS_traits,LandR,KNN,CASFRI,Latin_full,EN_generic_short,EN_generic_full,Leading,Notes,Boreal,Broadleaf,Type,PSP,ApproxFBP,FuelClass,BC_Forestry,AB_forestry,MB_forestry,NFI,QCPSP,CanfiCode,CanfiNote
,,Prun_vir,Prun_Vir,Prun virg,Prunus virginiana,,,,,,TRUE,Deciduous,,,,,,,PRUN_VIR,,2804,
pseumenz,PSEU.MEN,Pseu_men,Pseu_Men_Gla,Pseu meng,Pseudotsuga menziesii var. glauca,,,,,,FALSE,Conifer,douglas-fir,C7,,Fdi,,,PSEU_MEN,,500,
pseumenz,PSEU.MEN,Pseu_men,Pseu_Men_Men,Pseu menm,Pseudotsuga menziesii var. menziesii,,,,,,FALSE,Conifer,douglas-fir,,,Fdc,,,PSEU_MEN,,500,
pseumenz,PSEU.MEN,Pseu_men,Pseu_Men,Pseu menz,Pseudotsuga menziesii,,,,,,FALSE,Conifer,douglas-fir,,class3,Fd,Fd,,PSEU_MEN,,500,
,,Pyru_com,,Pyru comm,Pyrus communis,,,,,,TRUE,Deciduous,,,,,,,PYRU_COM,,1500,other hardwood code
,,Quer_alb,Quer_Alb,Quer alba,Quercus alba,,,,,,TRUE,Deciduous,white oak,,,,,,QUER_ALB,CHB,2101,
,,Quer_bic,Quer_Bic,Quer bico,Quercus bicolor,swamp white oak,,,swamp white oak hybridizes with bur oak,,TRUE,Deciduous,bur oak,,,,,,QUER_BIC,CHE,2102,
querelli,,Quer_ell,,,,,,,,,TRUE,Deciduous,,,,,,,QUER_ELL,,2100,generic oak code
,,Quer_gar,Quer_Gar,Quer garr,Quercus garryana,,,,,,TRUE,Deciduous,,,class2,Qg,,,QUER_GAR,,2103,
,,Quer_mac,Quer_Mac,Quer macr,Quercus macrocarpa,,,,,,TRUE,Deciduous,bur oak,,,,,BO,QUER_MAC,CHG,2104,
,,Quer_mue,,Quer mueh,Quercus muehlenbergii,,,,,,TRUE,Deciduous,,,,,,,QUER_MUE,,2100,generic oak code
,,Quer_pal,,Quer palu,Quercus palustris,,,,,,TRUE,Deciduous,,,,,,,QUER_PAL,,2100,generic oak code
,,Quer_rob,,Quer robu,Quercus robur,,,,,,TRUE,Deciduous,,,,,,,QUER_ROB,CHD,2100,generic oak code
querrubr,QUER.RUB,Quer_rub,Quer_Rub,Quer rubr,Quercus rubra,,,,,,TRUE,Deciduous,,,,,,,QUER_RUB,,2108,
,,Quer_shu,,Quer shum,Quercus shumardii,,,,,,TRUE,Deciduous,,,,,,,QUER_SHU,,2100,generic oak code
,,Quer_sp,Quer_Spp,Quer spp,Quercus spp.,,,,,,TRUE,Deciduous,red oak,,class2,Q,,,QUER_SP,CHR,2100,
,,Quer_vel,,Quer velu,Quercus velutina,Bl Oak,Black oak,,,,TRUE,Deciduous,,,class2,,,,QUER_VEL,,2100,generic oak code
,,Quer_vel,,Quer velu,Quercus velutina (nigra),,,,,,TRUE,Deciduous,,,,,,,QUER_VEL,,2100,generic oak code
,,Rham_pur,,Rham purs,Rhamnus purshianus,,,,,,TRUE,Deciduous,,,,,,,RHAM_PUR,,1500,other hardwood code
,,Robi_pse,Robi_Pse,Robi pseu,Robinia pseudoacacia,,,,,,TRUE,Deciduous,,,,,,,ROBI_PSE,ROP,2901,
,,Robi_sp,,Robi spp,Robinia spp.,,,,,,TRUE,Deciduous,,,,,,,ROBI_SP,,2901,
,,Sali_amy,,Sali amyg,Salix amygdaloides,,,,,,TRUE,Deciduous,,,,,,,SALI_AMY,,3500,generic willow code
,,Sali_beb,Sali_Beb,Sali bebb,Salix bebbiana,,,,,,TRUE,Deciduous,,,,Wb,,,SALI_BEB,,3506,
,,Sali_dis,,Sali disc,Salix discolor,,,,,,TRUE,Deciduous,,,,Wd,,,SALI_DIS,,3508,
,,Sali_luc,,Sali luci,Salix lucida,,,,,,TRUE,Deciduous,,,,Wp,,,SALI_LUC,,3500,generic willow code
,,Sali_nig,Sali_Nig,Sali nigr,Salix nigra,,,,,,TRUE,Deciduous,,,,,,,SALI_NIG,,3501,
,,Sali_sco,,Sali scou,Salix scouleriana,,,,,,TRUE,Deciduous,scoulers willow,,,Ws,,,SALI_SCO,,3500,generic willow code
,,Sali_sit,,Sali sitc,Salix sitchensis,,,,,,TRUE,Deciduous,,,,Wt,,,SALI_SIT,,3500,generic willow code
,,Sali_sp,Sali_Spp,Sali spp,Salix spp.,,,,,,TRUE,Deciduous,willow,,,W,,,SALI_SP,,3500,
,,Sass_alb,Sass_Alb,Sass albi,Sassafras albidum,,,,,,TRUE,Deciduous,,,,,,,SASS_ALB,,2600,
,,Sequ_gig,,Sequ giga,Sequoadendron giganteum,,,,,,FALSE,Conifer,,,,,,,SEQU_GIG,,1500,other hardwood code
,,Sequ_sem,,Sequ semp,Sequoia sempervirens,,,,,,FALSE,Conifer,,,,,,,SEQU_SEM,,1500,other hardwood code
,,Sorb_auc,Sorb_Ame,Sorb aucu,Sorbus americana,American mountain-ash,,,Sorbus americana is a synonym of Sorbus aucuparia,,TRUE,Deciduous,,,,,,,SORB_AUC,SOA,3961,
,,Sorb_auc,Sorb_Ame,Sorb aucu,Sorbus aucuparia,,,,Sorbus aucuparia is a synonym of Sorbus americana,,TRUE,Deciduous,,,,,,,SORB_AUC,,3961,
,,Sorb_dec,Sorb_Dec,,,,,,,,TRUE,Deciduous,,,,,,,SORB_DEC,,3962,
,,Sorb_sp,Sorb_Spp,,,,,,,,TRUE,Deciduous,,,,,,,SORB_SP,,3960,
,,Taxu_bre,,Taxu brev,Taxus brevifolia,,Pacific yew,,,,FALSE,Conifer,,,class3,Tw,,,TAXU_BRE,,901,
thujocci,,Thuj_occ,Thuj_Occ,Thuj occi,Thuja occidentalis,,,,,,FALSE,Conifer,eastern white-cedar,,class3,,,EC,THUJ_OCC,THO,701,
thujplic,THUJ.PLI,Thuj_pli,Thuj_Pli,Thuj plic,Thuja plicata,,,,,,FALSE,Conifer,western redcedar,,class3,Cw,,,THUJ_PLI,,702,
,THUJ.SPP.ALL,Thuj_sp,Thuj_Spp,,,,,,,,FALSE,Conifer,,,class3,C,,,THUJ_SP,,700,
tiliamer,,Tili_ame,Tili_Ame,Tili amer,Tilia americana,,,,,,TRUE,Deciduous,basswood,,,,,BD,TILI_AME,TIL,3000,
,,Tili_cor,,Tili cord,Tilia cordata,,,,,,TRUE,Deciduous,,,,,,,TILI_COR,,3000,basswood code
,,Tili_pla,,Tili plat,Tilia platyphyllos,,,,,,TRUE,Deciduous,,,,,,,TILI_PLA,,3000,basswood code
tsugcana,TSUG.CAN,Tsug_can,Tsug_Can,Tsug cana,Tsuga canadensis,Ea hemlock,Eastern hemlock,Eastern hemlock leading,,Tsug_Can,FALSE,Conifer,eastern hemlock,,,,,,TSUG_CAN,PRU,401,
tsughete,TSUG.HET,Tsug_het,Tsug_Het,Tsug hete,Tsuga heterophylla,,,,,,FALSE,Conifer,western hemlock,,class3,Hw,,,TSUG_HET,,402,
,,Tsug_mer,Tsug_Mer_Het,Tsug merx,Tsuga mertensiana,,,,,,FALSE,Conifer,mountain hemlock,,class3,Hm,,,TSUG_MER,,403,
tsugmert,TSUG.MER,Tsug_mer,Tsug_Mer,Tsug mert,Tsuga mertensiana x heterophylla,,,,,,FALSE,Conifer,mountain hemlock,,class3,Hxm,,,TSUG_MER,,403,
,,Tsug_sp,Tsug_Spp,Tsug spp,Tsuga spp.,Hemlock,Hemlock,Hemlock leading,,Tsug_Spp,FALSE,Conifer,,,class3,H,,,TSUG_SP,,400,
,,Ulmu_ame,Ulmu_Ame,Ulmu amer,Ulmus americana,,,,,,TRUE,Deciduous,white elm,,,,,EL,ULMU_AME,ORA,2201,
,,Ulmu_pum,Ulmu_Rub,Ulmu pumi,Ulmus pumila,,,,,,TRUE,Deciduous,,,,,,,ULMU_PUM,,2200,generic elm code
,,Ulmu_rub,Ulmu_Spp,Ulmu rubr,Ulmus rubra,,Slippery elm,,,,TRUE,Deciduous,,,,,,,ULMU_RUB,ORR,2202,
,,Ulmu_sp,Ulmu_Tho,Ulmu spp,Ulmus spp.,,,,,,TRUE,Deciduous,,,,,,,ULMU_SPP.,,2200,
,,,,Ulmu thom,Ulmus thomasii,,Rock elm,,,,TRUE,Deciduous,,,class2,,,,ULMU_THO,ORT,2203,
,,,Broadleaf_Spp,Hard unkn,,Decid,Deciduous,Deciduous leading,,,TRUE,Deciduous,,,,,,,,,1500,
,,,Needleleaf_Spp,Soft unkn,,Conif,Coniferous,Coniferous leading,,,FALSE,Conifer,,,,,,,,,1100,
,,,,Nonc hard,,Decid,Deciduous,Deciduous leading,,,TRUE,Deciduous,,,,,,,,,,
,,,,Hard tole,,,,,,,,,,,,,,,,,,
,,,,Hard into,,,,,,,,,,,,,,,,,,
,,,,Mois hard,,,,,,,,,,,,,,,,,,
,,,,Uncl spp,,,,,,,,,,,,,,,,,,
,,Juni_vir,Juni_Vir,,Juniperus virginiana,Rd Cedar,Eastern redcedar,,,,FALSE,Conifer,Eastern redcedar,,,,,,JUNI_VIR,,801,
