LANDIS_test,LANDIS_traits,LandR,KNN,CASFRI,Latin_full,EN_generic_short,EN_generic_full,Leading,Notes,Boreal,Broadleaf,Type,PSP,ApproxFBP,FuelClass,BC_Forestry,AB_forestry,MB_forestry,NFI,QCPSP,CanfiCode,CanfiNote
,,Betu_man,,Betu mand,Betula mandschurica var japonica,,,,,,TRUE,Deciduous,,,,,,,BETU_MAN,,1300,generic birch code
,,Betu_neo,,Betu neoa,Betula neoalaskana,,,,,,TRUE,Deciduous,,,class2,Ea,,,BETU_NEO,,1305,
,,Betu_occ,,Betu occi,Betula occidentalis,,,,,,TRUE,Deciduous,,,class2,Ew,,,BETU_OCC,,1314,
betupapy,BETU.PAP,Betu_pap,Betu_Pap,Betu papy,Betula papyrifera,Pa birch,Paper birch,Paper birch leading,,Betu_Pap,TRUE,Deciduous,white birch,,class2,Ep,Bw,WB,BETU_PAP,BOP,1303,
,,Betu_pen,,Betu pend,Betula pendula,,,,,,TRUE,Deciduous,,,,,,,BETU_PEN,,1300,generic birch code
,,Betu_pop,Betu_Pop,Betu popu,Betula populifolia,Gr birch,Gray birch,Gray birch leading,,Betu_Pop,TRUE,Deciduous,grey birch,,class2,,,,BETU_POP,BOG,1304,
,,Betu_pub,,Betu pube,Betula pubescens,,,,,,TRUE,Deciduous,,,,,,,BETU_PUB,,1300,generic birch code
,BETU.ALL,Betu_sp,Betu_Spp,Betu spp,Betula spp.,Birch,Birch,Birch leading,,Betu_Spp,TRUE,Deciduous,birch,,class2,,,,BETU_SP,,1300,generic birch code
,,Betu_win,,Betu winx,Betula x winteri,,,,,,TRUE,Deciduous,,,,Exp,,,BETU_WIN,,1300,generic birch code
,,Calc_dec,,Calc decu,Calocedrus decurrens,,,,,,FALSE,Conifer,,,,,,,CALC_DEC,,1100,other softwood code
,,Carp_car,Carp_Car,Carp caro,Carpinus caroliniana,,,,,,TRUE,Deciduous,,,,,,,CARP_CAR,,1950,
,,Cary_cor,Cary_Cor,Cary cord,Carya cordiformis,,,,,,TRUE,Deciduous,,,,,,,CARY_COR,CAC,1601,
,,Cary_gla,,Cary glab,Carya glabra,,,,,,TRUE,Deciduous,,,,,,,CARY_GLA,,1601,bitternut hickory code
,,Cary_lac,,Cary laci,Carya laciniosa,,,,,,TRUE,Deciduous,,,,,,,CARY_LAC,,1601,bitternut hickory code
,,Cary_ova,,Cary ovat,Carya ovata,,Shagbark hickory,hickory leading,,,TRUE,Deciduous,hickory,,class2,,,,CARY_OVA,CAF,1601,bitternut hickory code
,,Cary_sp,,Cary spp,Carya spp.,,,,,,TRUE,Deciduous,,,,,,,CARY_SP,,1601,bitternut hickory code
,,Cary_tom,,Cary tome,Carya tomentosa,,,,,,TRUE,Deciduous,,,,,,,CARY_TOM,,1601,bitternut hickory code
,,Cast_den,Cast_Den,Cast dent,Castanea dentata,,,,,,TRUE,Deciduous,,,,,,,CAST_DEN,,3980,
,,Cata_spe,,Cata spec,Catalpa speciosa,,,,,,TRUE,Deciduous,,,,,,,CATA_SPE,,1500,other hardwood code
